高层建筑,建筑高度大于27m 的多层住宅建筑，建筑高度大于24m 的多层厂房、仓库和其他民用建筑。
裙房,在高层建筑主体投影范围外，与建筑高层主体相连且建筑高度不大于24m 的附属建筑。
半地下室,房间地面低于室外设计地面的平均高度大于该房间平均净高的1/3 ，且不大于1/2 的场所。
地下室,房间地面低于室外设计地面的平均高度大于该房间平均净高1/2 的场所。
明火地点,有外露火焰或赤热表面的固定地点(民用建筑内的灶具、电磁炉等除外) 。
散发火花地点,有飞火的烟囱或进行室外砂轮、电焊、气焊、气割等作业的固定地点。
闪点,在规定的试验条件下，可燃性液体或固体表面产生的蒸气与空气形成的混合物，遇火源能够闪燃的液体或固体的最低温度(采用闭杯法测定) 。
爆炸下限,可燃的蒸气、气体或粉尘、纤维与空气组成的混合物，遇火源即能发生爆炸的最低浓度。
高架仓库,货架高度大于7m 且采用机械化操作或自动化控制的货架仓库。
交通隧道,在山中、地下或水下修建的，主要供车辆和行人通行的建筑物。
城市交通隧道,在城市区域内建设的供人员、机动车和非机动车通行的隧道。
安全出口,供人员安全疏散用的楼梯间和室外楼梯的出入口或直通室内外安全区域的出口。
疏散门,设置在疏散出口上满足人员安全疏散要求的门。
疏散出口,建筑中在火灾时供人员逃离着火区域或建筑的出口，包括安全出口和房间疏散门。
封闭楼梯间,在楼梯间人口处设置门，以防止火灾的烟气和热进入的楼梯间。
防烟楼梯间,在楼梯间人口处设置防烟的前室、开敞式阳台或凹廊(统称前室)等设施，并在通向前室和楼梯间处设置门，以防止火灾的烟气和热进入的楼梯间。
疏散走道,建筑中在火灾时用于人员疏散并具有防火、防烟性能的走道。
避难层,火灾时用于建筑内的人员临时躲避火灾及其烟气的楼层。
避难间,火灾时用于建筑内的人员临时躲避火灾及其烟气的房间。
避难走道,建筑中直接与室内的安全出口连接，在火灾时用于人员疏散至室外，并具有防火、防烟性能的走道。
汽车库,用于停放机动车的建筑或室内场所。
修车库,用于保养、修理机动车的建筑或室内场所。
停车场,专用于停放机动车的露天场地或构筑物。
消防专用通道,在建筑火灾时专门用于消防救援人员从地面进入建筑的通道或(和)楼梯间。
联络通道,在隧道中连接相邻两条单洞单线隧洞，并在火灾时用于人员疏散的通道。
纵向疏散平台,在地铁区间内平行于地铁线路并靠站台侧设置，用于人员疏散的纵向连续走道。
防火间距,防止着火建筑在一定时间内引燃相邻建筑，便于消防救援的空间间隔。
防火分区,在建筑内部采用防火墙、楼板及其他防火分隔设施分隔而成，能在一定时间内防止火灾向同一建筑的其余部分蔓延的局部空间。
耐火极限,在标准耐火试验条件下，建筑构件、配件或结构从受到火的作用时起，至失去承载能力、完整性或隔热性时止所用时间，用小时表示。
